Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1367521500,104.33,104.4,104.33,104.33,11.4593563,1195.7226428,104.34466051
1367521560,104.33,104.33,104.33,104.33,1.5406437,160.73535722,104.33
1367521620,104.34,104.34,104.33,104.33,2,208.67,104.335
1367521680,104.34,104.34,104.33,104.33,2.1125478,220.41249572,104.33491527
1367521740,104.34,104.34,104.34,104.34,11,1147.74,104.34
1367521800,104.34,104.34,104.34,104.34,1,104.34,104.34
1367521860,104.34,104.34,104.34,104.34,1.01245927,105.64000023,104.34
1367521920,104.34,104.34,104.34,104.34,2.18013487,227.47527234,104.34
1367521980,104.34,104.44,104,104.44,69.98851015,7280.7552011,104.0278638
1367522040,104.34,104.34,104.34,104.34,1.32037486,137.76791289,104.34
1367522100,104,104.34,104,104.34,2.18962514,227.78548711,104.02944456
1367522160,104.44,104.44,104.44,104.44,1,104.44,104.44
1367522220,104.44,104.44,104.44,104.44,1.282,133.89208,104.44
1367522280,104.44,104.44,104,104,3.70037486,385.55451289,104.19336621
1367522340,104.46,104.46,104.46,104.46,0.94308635,98.514800121,104.46
1367522400,104.68,104.73,104.01,104.73,3.09494836,321.94478537,104.02266788
1367522460,104.73,104.73,104.01,104.01,2,208.03402464,104.01701232
1367522520,104.01,104.74,104,104,14.08581012,1465.7586627,104.05923765
1367522580,104.74,104.74,104.74,104.74,1,104.74,104.74
1367522640,104.86,104.97,104.86,104.86,10.5,1101.9254,104.94527619
1367522700,104,104.97,104,104.97,10.2564517,1067.6409768,104.09457462
1367522760,104.97,104.97,104.97,104.97,1,104.97,104.97
1367522820,104.97,104.97,104.97,104.97,1,104.97,104.97
1367522880,104.97,104.97,104.97,104.97,11,1154.67,104.97
1367522940,104.97,104.97,104.97,104.97,4.58263388,481.03907838,104.97
1367523000,104.99,105,104.99,105,5,524.951,104.9902
